depcom;ze10;canton_ville;dep;categorie_com;pop;pophom;popfem;actemp_hom;actemp_fem;chom_hom;chom_fem;ret;ele;foy_hom;foy_fem;ina;autre;part_ele;part_ret;academie;libgeo
01001;8213;0110;01;120;784;398;386;172;157;18;12;185;47;;12;181;;5.9948979592;23.596938776;L;Abergement-Clémenciat (L') (01001)
01002;8201;0101;01;112;221;117;104;52;50;6;3;53;8;1;7;43;;3.6199095023;23.981900452;L;Abergement-de-Varey (L') (01002)
01004;8201;0101;01;112;13835;6741;7094;3243;2619;347;416;2717;905;7;461;3120;;6.5413805566;19.638597759;L;Ambérieu-en-Bugey (01004)
01005;8213;0130;01;112;1616;816;800;435;361;18;33;287;110;3;36;333;;6.8069306931;17.75990099;L;Ambérieux-en-Dombes (01005)
01006;8216;0104;01;300;116;60;56;31;25;1;1;32;7;;2;17;;6.0344827586;27.586206897;L;Ambléon (01006)
01007;8201;0101;01;112;2362;1169;1193;575;490;50;43;477;142;2;76;507;;6.0118543607;20.194750212;L;Ambronay (01007)
01008;8201;0117;01;112;729;376;353;207;169;8;16;112;44;;26;148;;6.0356652949;15.36351166;L;Ambutrix (01008)
01009;8216;0104;01;212;340;166;174;76;68;4;8;100;20;;3;62;;5.8823529412;29.411764706;L;Andert-et-Condon (01009)
01010;8219;0131;01;300;994;497;497;226;178;20;35;207;53;;20;254;;5.3319919517;20.824949698;L;Anglefort (01010)
01011;8203;0122;01;112;363;184;179;92;75;8;11;73;19;;;84;;5.2341597796;20.110192837;L;Apremont (01011)
01012;8203;0115;01;300;302;151;151;66;69;3;6;85;7;1;6;59;;2.3178807947;28.145695364;L;Aranc (01012)
01013;8201;0128;01;112;163;80;83;32;30;2;5;48;11;;;36;;6.7484662577;29.447852761;L;Arandas (01013)
01014;8203;0123;01;111;3476;1780;1696;791;640;101;108;715;250;;100;771;;7.1921749137;20.569620253;L;Arbent (01014)
01015;8216;0104;01;212;480;236;244;110;96;3;13;140;18;;11;88;;3.75;29.166666667;L;Arbignieu (01015)
01016;0053;0126;01;120;399;207;192;98;75;8;7;95;16;;9;91;;4.0100250627;23.80952381;L;Arbigny (01016)
01017;8201;0128;01;112;421;206;215;91;76;8;17;119;19;1;12;78;;4.513064133;28.266033254;L;Argis (01017)
01019;8203;0136;01;120;20;13;7;5;3;;;9;;;;3;;;45;L;Armix (01019)
01021;8213;0142;01;112;1367;674;693;341;308;9;9;208;138;;28;327;;10.095098756;15.215801024;L;Ars-sur-Formans (01021)
01022;8216;0109;01;300;1126;552;574;242;224;26;24;303;54;;26;227;;4.7957371226;26.909413854;L;Artemare (01022)
01023;0053;0102;01;112;73;39;34;19;16;1;2;12;3;;2;18;;4.1095890411;16.438356164;L;Asnières-sur-Saône (01023)
01024;8202;0121;01;112;2936;1479;1457;724;676;43;61;499;198;2;29;702;;6.7438692098;16.995912807;L;Attignat (01024)
01025;0053;0102;01;112;3040;1560;1480;815;685;40;52;467;201;1;65;714;;6.6118421053;15.361842105;L;Bâgé-la-Ville (01025)
01026;0053;0102;01;112;796;372;424;176;170;;;243;48;2;20;137;;6.0301507538;30.527638191;L;Bâgé-le-Châtel (01026)
01027;8214;0120;01;112;2348;1530;818;1163;429;17;33;228;100;2;31;346;;4.2589437819;9.7103918228;L;Balan (01027)
01028;8213;0130;01;112;572;276;296;144;128;7;14;96;37;1;7;138;;6.4685314685;16.783216783;L;Baneins (01028)
