depcom,ze10,canton_ville,dep,categorie_com,pop,pophom,popfem,actemp_hom,actemp_fem,chom_hom,chom_fem,ret,ele,foy_hom,foy_fem,ina,autre,part_ele,part_ret,academie,libgeo,partchfem
01001,8213,0110,01,120,784,398,386,172,157,18,12,185,47,NA,12,181,NA,5.9948979592,23596938776,L,Abergement-Clémenciat (L') (01001),0
01002,8201,0101,01,112,221,117,104,52,50,6,3,53,8,1,7,43,NA,3.6199095023,23981900452,L,Abergement-de-Varey (L') (01002),0
01004,8201,0101,01,112,13835,6741,7094,3243,2619,347,416,2717,905,7,461,3120,NA,6.5413805566,19638597759,L,Ambérieu-en-Bugey (01004),1.6
01005,8213,0130,01,112,1616,816,800,435,361,18,33,287,110,3,36,333,NA,6.8069306931,1775990099,L,Ambérieux-en-Dombes (01005),0.1
01006,8216,0104,01,300,116,60,56,31,25,1,1,32,7,NA,2,17,NA,6.0344827586,27586206897,L,Ambléon (01006),0
01007,8201,0101,01,112,2362,1169,1193,575,490,50,43,477,142,2,76,507,NA,6.0118543607,20194750212,L,Ambronay (01007),0.2
01008,8201,0117,01,112,729,376,353,207,169,8,16,112,44,NA,26,148,NA,6.0356652949,1536351166,L,Ambutrix (01008),0.1
01009,8216,0104,01,212,340,166,174,76,68,4,8,100,20,NA,3,62,NA,5.8823529412,29411764706,L,Andert-et-Condon (01009),0
01010,8219,0131,01,300,994,497,497,226,178,20,35,207,53,NA,20,254,NA,5.3319919517,20824949698,L,Anglefort (01010),0.1
01011,8203,0122,01,112,363,184,179,92,75,8,11,73,19,NA,NA,84,NA,5.2341597796,20110192837,L,Apremont (01011),0
01012,8203,0115,01,300,302,151,151,66,69,3,6,85,7,1,6,59,NA,2.3178807947,28145695364,L,Aranc (01012),0
01013,8201,0128,01,112,163,80,83,32,30,2,5,48,11,NA,NA,36,NA,6.7484662577,29447852761,L,Arandas (01013),0
01014,8203,0123,01,111,3476,1780,1696,791,640,101,108,715,250,NA,100,771,NA,7.1921749137,20569620253,L,Arbent (01014),0.4
01015,8216,0104,01,212,480,236,244,110,96,3,13,140,18,NA,11,88,NA,3.75,29166666667,L,Arbignieu (01015),0.1
01016,0053,0126,01,120,399,207,192,98,75,8,7,95,16,NA,9,91,NA,4.0100250627,2380952381,L,Arbigny (01016),0
01017,8201,0128,01,112,421,206,215,91,76,8,17,119,19,1,12,78,NA,4.513064133,28266033254,L,Argis (01017),0.1
01019,8203,0136,01,120,20,13,7,5,3,NA,NA,9,NA,NA,NA,3,NA,NA,45,L,Armix (01019),NA
01021,8213,0142,01,112,1367,674,693,341,308,9,9,208,138,NA,28,327,NA,10.095098756,15215801024,L,Ars-sur-Formans (01021),0
01022,8216,0109,01,300,1126,552,574,242,224,26,24,303,54,NA,26,227,NA,4.7957371226,26909413854,L,Artemare (01022),0.1
01023,0053,0102,01,112,73,39,34,19,16,1,2,12,3,NA,2,18,NA,4.1095890411,16438356164,L,Asnières-sur-Saône (01023),0
01024,8202,0121,01,112,2936,1479,1457,724,676,43,61,499,198,2,29,702,NA,6.7438692098,16995912807,L,Attignat (01024),0.2
01025,0053,0102,01,112,3040,1560,1480,815,685,40,52,467,201,1,65,714,NA,6.6118421053,15361842105,L,Bâgé-la-Ville (01025),0.2
01026,0053,0102,01,112,796,372,424,176,170,NA,NA,243,48,2,20,137,NA,6.0301507538,30527638191,L,Bâgé-le-Châtel (01026),NA
01027,8214,0120,01,112,2348,1530,818,1163,429,17,33,228,100,2,31,346,NA,4.2589437819,97103918228,L,Balan (01027),0.1
01028,8213,0130,01,112,572,276,296,144,128,7,14,96,37,1,7,138,NA,6.4685314685,16783216783,L,Baneins (01028),0.1
01029,8202,0111,01,112,624,311,313,141,111,8,11,121,26,NA,11,195,NA,4.1666666667,19391025641,L,Beaupont (01029),0
01030,8213,0134,01,111,870,422,448,196,184,14,36,139,57,7,33,203,NA,6.5517241379,15977011494,L,Beauregard (01030),0.1
01031,8203,0141,01,111,3537,1757,1780,804,671,107,147,655,277,5,90,781,NA,7.8314956178,18518518519,L,Bellignat (01031),0.6
01032,8214,0120,01,112,2905,1462,1443,786,634,32,70,368,195,3,96,721,NA,6.7125645439,12667814114,L,Béligneux (01032),0.3
01033,8219,0103,01,221,11790,5747,6043,2465,2041,538,466,2603,550,10,527,2589,NA,4.6649703138,22078032231,L,Bellegarde-sur-Valserine (01033),1.8
01034,8216,0104,01,211,8755,4169,4586,1813,1577,247,261,2184,550,7,265,1851,NA,6.2821245003,24945745288,L,Belley (01034),1
01035,8203,0123,01,112,321,169,152,92,80,4,5,58,14,NA,3,65,NA,4.3613707165,18068535826,L,Belleydoux (01035),0
01036,8216,0109,01,300,514,271,243,121,110,7,13,118,20,2,8,115,NA,3.8910505837,22957198444,L,Belmont-Luthézieu (01036),0.1
01037,8201,0118,01,112,275,151,124,65,50,1,6,67,14,1,5,67,NA,5.0909090909,24363636364,L,Bénonces (01037),0
01038,8202,0111,01,112,724,367,357,182,168,7,8,159,40,NA,7,153,NA,5.5248618785,21961325967,L,Bény (01038),0
01039,8216,0109,01,300,373,187,187,102,72,5,7,84,28,NA,20,54,NA,7.5067024129,22520107239,L,Béon (01039),0
01040,8202,0121,01,112,445,225,220,115,104,7,8,71,27,NA,4,109,NA,6.0674157303,1595505618,L,Béréziat (01040),0
01041,8201,0101,01,112,724,358,366,179,162,5,13,155,48,1,23,137,NA,6.6298342541,21408839779,L,Bettant (01041),0.1
01042,0053,0127,01,112,245,130,115,60,51,4,7,57,18,NA,2,48,NA,7.3469387755,23265306122,L,Bey (01042),0
